27415 0,077
15823 0,149
12947 0,221
12896 0,293
11424 0,365
11246 0,437
10659 0,6
10570 0,745
9722 0,887
9624 0,959
9529 1,031
9347 1,103
9334 1,175
9296 1,246
8426 1,316
8405 1,387
8039 1,459
8039 1,601
8039 1,743
7902 1,814
7774 3,736
7707 9,897
7703 10,586
7680 13,343
7679 49,037
7679 50,38
